name,phone,whatsapp,address,website_or_listing,instagram_found,why_fits_20usd,priority
"Sumac Co.",+962796868408,+962796868408,"Yethreb St 15 Dabouq Amman",thesumacco.com,not_checked_web,"Custom site but WhatsApp ordering only - can replace with your $20 QR + tracking",high
"TomYum",0795008600,0795008600,"Al-Ezz Ben Abd As-Salam St Amman",tomyumjo.com,not_checked,"Menu site no cart - phone orders only",high
"Shai Wna3na3",+96265923322,+96265923322,"Cairo St 21 Amman",menufyy.com listing,not_checked,"Hosted on menufyy (3rd party) - pitch own link 0% commission",high
"Bayt Sara",+962789004242,+962789004242,"Omar Bin Al Khattab St 38 Amman",menuweb.menu listing,not_checked,"No website - only directory listing",high
"Rakoon Indian",+962797070096,+962797070096,"Amman",rakoonindian.com,not_checked,"Small Indian - phone ordering",medium
"Dara Dining",0793700900,0793700900,"Amman (Dara)",dara.jo,instagram block verified via Jina,"WhatsApp ordering page - no cart",medium
"Mijana",0799381474,0799381474,"Rainbow St Jabal Amman",mijana.shop,not_checked,"Boutique Jordanian - 2 phones listed",high
"Willow",0785669933,0785669933,"King Naseef St 1 Amman",willowamman.com,not_checked,"Villa restaurant - event + dining",medium
"Sheen",+962777774047,+962777774047,"Villa 1 Second Circle Abu Tamam St Amman",sheenrestaurant.com,not_checked,"Small - manual phone booking",high
"Zuwwadeh",+962795602858,+962795602858,"Al-Hjiaz St Amman",zuwwadeh.com,not_checked,"Lebanese - single location",high
"Amman Al-Kubra",+962790155222,+962790155222,"Fifth/Seventh Circle + Muqabalayn",ammanalkubra.com,not_checked,"3 locations - upsell multi-tenant (3x $20)",medium
"Jubran",+962777123456,+962777123456,"Abdali Blvd Entrance 2 7th Floor Amman",jubran.com,not_checked,"Large - less likely $20 but has volume",low
"VIVID",0791621111,0791621111,"Abdali Blvd Amman",vividrestaurant.com,not_checked,"2 branches - pitch 2x",low
"Jabri",+96265681700,+96265681700,"Wasfi Al Tal St Amman",jabri.com.jo,not_checked,"Established - phone only",low
"Fakhreldin",+962795430055,+962795430055,"Jabal Amman Taha Hussein St",fakhreldin.com,not_checked,"Fine dining - not ideal $20",low
